Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
29800171,60,764,David Robinson,1610612759,San Antonio Spurs,1,5,33,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,98,-10,1,19990226,SEA,SAS,Regular Season
29800226,144,714,Michael Finley,1610612742,Dallas Mavericks,2,7,26,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,40,100,0,19990305,UTA,DAL,Regular Season
29800387,39,904,Chris Mullin,1610612754,Indiana Pacers,1,7,25,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-119,149,0,19990326,NJN,IND,Regular Season
29800181,249,210,Terrell Brandon,1610612749,Milwaukee Bucks,3,10,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-100,141,0,19990228,MIL,PHI,Regular Season
29700180,136,923,Donyell Marshall,1610612744,Golden State Warriors,2,9,17,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,136,222,1,19971125,GSW,NJN,Regular Season
29800560,33,947,Allen Iverson,1610612755,Philadelphia 76ers,1,7,1,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,138,124,0,19990416,PHI,IND,Regular Season
29700873,64,1500,Ron Mercer,1610612738,Boston Celtics,1,3,21,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,48,0,19980308,IND,BOS,Regular Season
29800317,277,441,Lamond Murray,1610612746,Los Angeles Clippers,3,6,38,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,19990317,BOS,LAC,Regular Season
29800077,63,935,Bryon Russell,1610612762,Utah Jazz,1,4,21,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19990215,UTA,SAC,Regular Season
29700947,435,1545,DeJuan Wheat,1610612750,Minnesota Timberwolves,4,0,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,151,220,0,19980318,MIN,SAS,Regular Season
29800425,69,436,Juwan Howard,1610612764,Washington Wizards,1,3,49,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-74,169,0,19990330,MIL,WAS,Regular Season
29700492,312,389,Toni Kukoc,1610612741,Chicago Bulls,3,1,44,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,216,-14,1,19980110,CHI,GSW,Regular Season
29700896,206,224,Eddie Jones,1610612747,Los Angeles Lakers,2,6,58,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19980311,LAL,POR,Regular Season
29700267,90,1594,Rick Brunson,1610612757,Portland Trail Blazers,1,0,53,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-91,3,0,19971208,POR,LAL,Regular Season
29800579,41,213,Antonio Davis,1610612754,Indiana Pacers,1,7,11,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,192,0,1,19990418,MIA,IND,Regular Season
