Period,Minutes Remaining,Seconds Remaining,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Action Type_Frequency,Team Name_Frequency,Home Team_Frequency,Away Team_Frequency,ShotType_2PT Field Goal,ShotType_3PT Field Goal,ShotZoneBasic_Above the Break 3,ShotZoneBasic_Backcourt,ShotZoneBasic_In The Paint (Non-RA),ShotZoneBasic_Left Corner 3,ShotZoneBasic_Mid-Range,ShotZoneBasic_Restricted Area,ShotZoneBasic_Right Corner 3,ShotZoneArea_Back Court(BC),ShotZoneArea_Center(C),ShotZoneArea_Left Side Center(LC),ShotZoneArea_Left Side(L),ShotZoneArea_Right Side Center(RC),ShotZoneArea_Right Side(R),ShotZoneRange_16-24 ft.,ShotZoneRange_24+ ft.,ShotZoneRange_8-16 ft.,ShotZoneRange_Back Court Shot,ShotZoneRange_Less Than 8 ft.,SeasonType_Playoffs,SeasonType_Regular Season,Game ID_Frequency,Game Event ID_Frequency,Player ID_Frequency
1,3,53,26,-191,183,0,20151208,0.5786407766990291,0.038834951456310676,0.036893203883495145,0.02912621359223301,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
3,7,20,9,77,47,0,20010130,0.5786407766990291,0.017475728155339806,0.036893203883495145,0.038834951456310676,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001941747572815534,0.001941747572815534,0.003883495145631068
2,0,42,11,22,116,1,20020408,0.5786407766990291,0.017475728155339806,0.02524271844660194,0.040776699029126215,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.003883495145631068,0.005825242718446602,0.003883495145631068
3,10,30,0,0,0,1,20011108,0.12427184466019417,0.03495145631067961,0.02330097087378641,0.031067961165048542,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
3,8,19,27,200,192,1,20100226,0.5786407766990291,0.05048543689320388,0.04660194174757282,0.040776699029126215,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
1,7,33,2,-5,25,1,20171108,0.003883495145631068,0.04466019417475728,0.04660194174757282,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
4,5,23,4,39,25,1,20121205,0.02912621359223301,0.04271844660194175,0.03300970873786408,0.038834951456310676,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
4,0,42,24,-95,227,0,20091220,0.5786407766990291,0.017475728155339806,0.027184466019417475,0.02912621359223301,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
4,11,41,7,-72,0,0,19971202,0.5786407766990291,0.038834951456310676,0.02330097087378641,0.04466019417475728,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
1,1,13,24,-61,238,0,20060311,0.5786407766990291,0.031067961165048542,0.04660194174757282,0.02912621359223301,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
1,7,20,6,4,62,0,20190223,0.007766990291262136,0.038834951456310676,0.015533980582524271,0.040776699029126215,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
3,9,7,0,0,0,0,20020322,0.12427184466019417,0.036893203883495145,0.03495145631067961,0.021359223300970873,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
4,5,47,13,136,-13,1,20030322,0.5786407766990291,0.017475728155339806,0.03300970873786408,0.011650485436893204,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001941747572815534,0.001941747572815534,0.003883495145631068
3,7,34,0,0,0,1,20060331,0.05631067961165048,0.03495145631067961,0.031067961165048542,0.04854368932038835,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
4,0,54,28,161,235,0,20200210,0.5786407766990291,0.05048543689320388,0.04271844660194175,0.04271844660194175,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
4,5,54,9,-94,-16,0,19990401,0.5786407766990291,0.04660194174757282,0.027184466019417475,0.04660194174757282,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
2,9,30,0,0,0,1,20051104,0.003883495145631068,0.027184466019417475,0.036893203883495145,0.04466019417475728,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
2,1,52,0,-5,8,1,20060221,0.12427184466019417,0.001941747572815534,0.02912621359223301,0.005825242718446602,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.007766990291262136,0.003883495145631068
2,6,27,13,-136,-6,1,20001202,0.015533980582524271,0.03495145631067961,0.031067961165048542,0.031067961165048542,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.003883495145631068,0.003883495145631068,0.001941747572815534
2,8,41,19,72,184,0,20070223,0.5786407766990291,0.04271844660194175,0.04271844660194175,0.04271844660194175,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.007766990291262136
3,11,27,2,23,0,1,20051128,0.05631067961165048,0.040776699029126215,0.04660194174757282,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
4,9,31,18,-145,120,1,20050108,0.5786407766990291,0.040776699029126215,0.03495145631067961,0.04466019417475728,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.005825242718446602
